ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,NoOfInveters ,NoOfPanels,Tags,SolarSystem
2401-3600,30kW,Off Grid,JA Solar China,SMA Germany ,LFP Lithium-ion,3,3,30,2401-3600 Off Grid JA Solar China SMA Germany  LFP Lithium-ion,30kW Off Grid | 30 solar panel- JA Solar China | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,JA Solar China,SMA Germany ,LFP Lithium-ion,4,4,40,3601-4800 Off Grid JA Solar China SMA Germany  LFP Lithium-ion,40kW Off Grid | 40 solar panel- JA Solar China | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,JA Solar China,SMA Germany ,LFP Lithium-ion,5,5,50,4801-6000 Off Grid JA Solar China SMA Germany  LFP Lithium-ion,50kW Off Grid | 50 solar panel- JA Solar China | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,JA Solar China,SMA Germany ,LFP Lithium-ion,6,6,60,6001-7200 Off Grid JA Solar China SMA Germany  LFP Lithium-ion,60kW Off Grid | 60 solar panel- JA Solar China | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,1,0-120 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,1kW Off Grid | 1 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,2,121-240 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,2kW Off Grid | 2 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,4,241-420 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,4,421-480 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,4kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,5,481-600 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,5kW Off Grid | 5 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,7,601-900 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,8,901-960 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,8kW Off Grid | 8 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,10,961-1200 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,2,2,15,1201-1800 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,15kW Off Grid | 15 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,2,2,20,1801-2400 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,20kW Off Grid | 20 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,3,3,30,2401-3600 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,30kW Off Grid | 30 solar panel- JA Solar China | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,4,4,40,3601-4800 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,40kW Off Grid | 40 solar panel- JA Solar China | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,5,5,50,4801-6000 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,50kW Off Grid | 50 solar panel- JA Solar China | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,6,6,60,6001-7200 Off Grid JA Solar China CanadainSolar Canada LFP Lithium-ion,60kW Off Grid | 60 solar panel- JA Solar China | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,1,0-120 Off Grid JA Solar China Growatt China LFP Lithium-ion,1kW Off Grid | 1 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,2,121-240 Off Grid JA Solar China Growatt China LFP Lithium-ion,2kW Off Grid | 2 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,4,241-420 Off Grid JA Solar China Growatt China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,4,421-480 Off Grid JA Solar China Growatt China LFP Lithium-ion,4kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,5,481-600 Off Grid JA Solar China Growatt China LFP Lithium-ion,5kW Off Grid | 5 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,7,601-900 Off Grid JA Solar China Growatt China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,8,901-960 Off Grid JA Solar China Growatt China LFP Lithium-ion,8kW Off Grid | 8 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,1,1,10,961-1200 Off Grid JA Solar China Growatt China LFP Lithium-ion,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,2,2,15,1201-1800 Off Grid JA Solar China Growatt China LFP Lithium-ion,15kW Off Grid | 15 solar panel- JA Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,2,2,20,1801-2400 Off Grid JA Solar China Growatt China LFP Lithium-ion,20kW Off Grid | 20 solar panel- JA Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,3,3,30,2401-3600 Off Grid JA Solar China Growatt China LFP Lithium-ion,30kW Off Grid | 30 solar panel- JA Solar China | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,4,4,40,3601-4800 Off Grid JA Solar China Growatt China LFP Lithium-ion,40kW Off Grid | 40 solar panel- JA Solar China | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,5,5,50,4801-6000 Off Grid JA Solar China Growatt China LFP Lithium-ion,50kW Off Grid | 50 solar panel- JA Solar China | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,JA Solar China,Growatt China,LFP Lithium-ion,6,6,60,6001-7200 Off Grid JA Solar China Growatt China LFP Lithium-ion,60kW Off Grid | 60 solar panel- JA Solar China | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,1,0-120 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,2,121-240 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,4,241-420 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,4,421-480 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,5,481-600 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,7,601-900 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,8,901-960 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,1,1,10,961-1200 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,2,2,15,1201-1800 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Jinko Solar China | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,2,2,20,1801-2400 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,20kW Off Grid | 20 solar panel- Jinko Solar China | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,3,3,30,2401-3600 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,30kW Off Grid | 30 solar panel- Jinko Solar China | 3 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,4,4,40,3601-4800 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,40kW Off Grid | 40 solar panel- Jinko Solar China | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,5,5,50,4801-6000 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,Jinko Solar China,Goodwee China,LFP Lithium-ion,6,6,60,6001-7200 Off Grid Jinko Solar China Goodwee China LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,1,0-120 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,2,121-240 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,4,241-420 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,4,421-480 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,5,481-600 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,7,601-900 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,8,901-960 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,1,1,10,961-1200 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,2,2,15,1201-1800 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,15kW Off Grid | 15 solar panel- Jinko Solar China | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,2,2,20,1801-2400 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,20kW Off Grid | 20 solar panel- Jinko Solar China | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,3,3,30,2401-3600 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,30kW Off Grid | 30 solar panel- Jinko Solar China | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,4,4,40,3601-4800 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,40kW Off Grid | 40 solar panel- Jinko Solar China | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,5,5,50,4801-6000 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,Jinko Solar China,SMA Germany ,LFP Lithium-ion,6,6,60,6001-7200 Off Grid Jinko Solar China SMA Germany  LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,1,0-120 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,2,121-240 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,4,241-420 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,4,421-480 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,5,481-600 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,7,601-900 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,8,901-960 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1,10,961-1200 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,2,2,15,1201-1800 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,15kW Off Grid | 15 solar panel- Jinko Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,2,2,20,1801-2400 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,20kW Off Grid | 20 solar panel- Jinko Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,3,3,30,2401-3600 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,30kW Off Grid | 30 solar panel- Jinko Solar China | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,4,4,40,3601-4800 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,40kW Off Grid | 40 solar panel- Jinko Solar China | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,5,5,50,4801-6000 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,6,6,60,6001-7200 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,1,0-120 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,2,121-240 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,4,241-420 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,4,421-480 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,5,481-600 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,7,601-900 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,8,901-960 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,1,10,961-1200 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,2,2,15,1201-1800 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,2,2,20,1801-2400 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,20kW Off Grid | 20 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,3,3,30,2401-3600 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,30kW Off Grid | 30 solar panel- Jinko Solar China | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,4,4,40,3601-4800 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,40kW Off Grid | 40 solar panel- Jinko Solar China | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,5,5,50,4801-6000 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,6,6,60,6001-7200 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion 
0-120,1kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,1,0-120 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
121-240,2kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,2,121-240 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,4,241-420 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
421-480,4kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,4,421-480 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
481-600,5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,5,481-600 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,7,601-900 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
901-960,8kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,8,901-960 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
961-1200,10kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,1,10,961-1200 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,2,2,15,1201-1800 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
